day,xt
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.2777346974130517
8,0.0
9,0.0
10,0.1003419192600945
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,1.4080771710317592
27,0.0
28,0.0
29,0.5073722682202839
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,1.495446234554722
52,0.04634491840567723
53,0.03880209943945512
54,0.5663767845248249
55,0.0
56,0.0
57,0.0
58,0.26763719452934454
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.9411018581887161
71,0.2890658505826995
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.5475209986799325
161,0.9130847717830418
162,0.0
163,0.0
164,1.3451007168858682
165,0.2161872252593977
166,0.0
167,0.0
168,0.0
169,0.23531851611958632
170,1.3982918501503796
171,2.160346311287104
172,2.7829052927525395
173,0.5255910470245024
174,0.0
175,0.8645639638617508
176,0.3715337285825624
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.33624215637750376
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.8623823994995041
189,0.0
190,0.0
191,1.0834850455178175
192,1.8809201560540867
193,1.5239602571352293
194,1.9074749544643166
195,1.6539778464979706
196,2.071215336762924
197,0.7647658331915859
198,0.0
199,0.0
200,0.0
201,0.0
202,1.0389470716248126
203,2.125956595358975
204,2.7397905817452664
205,1.4838433111269302
206,2.850997972156177
207,1.1315412449771332
208,1.074540967904245
209,1.2308486116159947
210,0.9947567670650851
211,0.27416788102020606
212,0.05698236972686649
213,0.3486716250509379
